display  D   display_settings.c:506  _al_score_display_settings       [   0.11225] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11226] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11227] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11227] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11228] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11229] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11230] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11231] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11232] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11233] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11234] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11234] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11235] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11236] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11237] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11238] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11240] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11241] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11243] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11244] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
